Years,Months,Unemployment Rate
2008,7,7.5
2008,6,7.6
2008,5,6.9
2008,4,7.1
2008,3,6.9
2008,2,6.2
2008,1,6.3
2007,12,6.3
2007,11,5.9
2007,10,5.7
2007,9,5.9
2007,8,5.5
2007,7,5.9
2007,6,5.5
2007,5,5.8
2007,4,5.6
2007,3,5.0
2007,2,5.1
2007,1,5.5
2006,12,5.0
2006,11,5.1
2006,10,4.8
2006,9,5.5
2006,8,5.3
2006,7,5.2
2006,6,5.2
2006,5,5.0
2006,4,5.5
2006,3,5.2
2006,2,5.4
2006,1,5.5
2005,12,6.1
2005,11,6.1
2005,10,6.0
2005,9,6.4
2005,8,5.8
2005,7,5.5
2005,6,5.7
2005,5,6.0
2005,4,6.4
2005,3,5.8
2005,2,6.3
2005,1,6.0
2004,12,6.6
2004,11,6.7
2004,10,6.8
2004,9,6.8
2004,8,6.8
2004,7,6.8
2004,6,6.6
2004,5,6.9
2004,4,7.1
2004,3,7.6
2004,2,7.4
2004,1,7.3
2003,12,6.7
2003,11,7.4
2003,10,7.5
2003,9,7.3
2003,8,7.7
2003,7,8.0
2003,6,8.3
2003,5,8.0
2003,4,7.6
2003,3,7.8
2003,2,7.7
2003,1,7.9
2002,12,7.9
2002,11,7.8
2002,10,7.9
2002,9,7.4
2002,8,7.5
2002,7,7.4
2002,6,7.4
2002,5,7.1
2002,4,8.0
2002,3,7.5
2002,2,7.0
2002,1,7.8
2001,12,7.7
2001,11,7.3
2001,10,7.1
2001,9,6.7
2001,8,6.5
2001,7,6.2
2001,6,6.6
2001,5,6.3
2001,4,6.4
2001,3,6.2
2001,2,6.1
2001,1,5.8
2000,12,5.7
2000,11,6.0
2000,10,5.1
2000,9,5.8
2000,8,5.9
2000,7,5.8
2000,6,5.6
2000,5,5.8
2000,4,5.5
2000,3,6.1
2000,2,5.7
2000,1,5.6
1999,12,5.8
1999,11,6.0
1999,10,6.4
1999,9,6.7
1999,8,6.5
1999,7,6.5
1999,6,6.6
1999,5,6.7
1999,4,7.0
1999,3,5.8
1999,2,6.7
1999,1,6.7
1998,12,7.7
1998,11,7.1
1998,10,7.2
1998,9,7.3
1998,8,7.4
1998,7,7.3
1998,6,7.4
1998,5,6.9
1998,4,6.7
1998,3,6.9
1998,2,6.9
1998,1,7.1
1997,12,7.3
1997,11,7.0
1997,10,7.8
1997,9,7.4
1997,8,7.2
1997,7,7.9
1997,6,7.5
1997,5,7.7
1997,4,8.2
1997,3,8.3
1997,2,8.2
1997,1,8.4
1996,12,7.4
1996,11,8.5
1996,10,8.0
1996,9,8.2
1996,8,8.8
1996,7,8.8
1996,6,8.8
1996,5,9.6
1996,4,9.6
1996,3,9.6
1996,2,9.6
1996,1,9.4
1995,12,9.3
1995,11,9.5
1995,10,9.4
1995,9,9.1
1995,8,9.6
1995,7,8.8
1995,6,9.1
1995,5,9.8
1995,4,8.9
1995,3,8.9
1995,2,9.0
1995,1,10.2
1994,12,9.3
1994,11,8.9
1994,10,9.5
1994,9,10.1
1994,8,9.8
1994,7,10.1
1994,6,10.3
1994,5,9.6
1994,4,10.8
1994,3,9.9
1994,2,10.1
1994,1,10.5
1993,12,10.6
1993,11,10.5
1993,10,11.4
1993,9,10.0
1993,8,9.8
1993,7,10.7
1993,6,10.4
1993,5,10.2
1993,4,11.0
1993,3,11.3
1993,2,11.5
1993,1,11.3
1992,12,11.5
1992,11,12.0
1992,10,11.8
1992,9,11.8
1992,8,11.7
1992,7,11.7
1992,6,12.1
1992,5,11.7
1992,4,11.0
1992,3,11.2
1992,2,11.3
1992,1,11.0
1991,12,10.2
1991,11,10.4
1991,10,10.7
1991,9,10.9
1991,8,10.5
1991,7,9.6
1991,6,10.1
1991,5,10.0
1991,4,9.8
1991,3,9.8
1991,2,9.2
1991,1,9.1
1990,12,9.9
1990,11,8.9
1990,10,8.5
1990,9,8.3
1990,8,8.3
1990,7,8.0
1990,6,7.7
1990,5,7.9
1990,4,8.5
1990,3,7.4
1990,2,7.5
1990,1,7.3
1989,12,8.3
1989,11,7.9
1989,10,8.0
1989,9,8.1
1989,8,8.8
1989,7,8.8
1989,6,8.2
1989,5,7.9
1989,4,8.1
1989,3,6.6
1989,2,7.0
1989,1,8.6
1988,12,7.6
1988,11,7.9
1988,10,7.8
1988,9,7.4
1988,8,8.1
1988,7,7.9
1988,6,8.8
1988,5,8.8
1988,4,8.8
1988,3,8.4
1988,2,8.5
1988,1,7.6
1987,12,8.1
1987,11,8.8
1987,10,8.4
1987,9,8.3
1987,8,7.9
1987,7,8.1
1987,6,8.5
1987,5,8.6
1987,4,8.9
1987,3,9.3
1987,2,9.8
1987,1,10.6
1986,12,10.5
1986,11,9.3
1986,10,10.4
1986,9,11.1
1986,8,10.9
1986,7,10.7
1986,6,10.6
1986,5,10.8
1986,4,10.3
1986,3,10.7
1986,2,11.9
1986,1,10.2
1985,12,10.5
1985,11,10.6
1985,10,11.1
1985,9,10.4
1985,8,10.4
1985,7,11.2
1985,6,10.7
1985,5,10.6
1985,4,10.4
1985,3,10.5
1985,2,9.8
1985,1,10.5
1984,12,10.4
1984,11,10.2
1984,10,10.8
1984,9,10.5
1984,8,10.7
1984,7,10.4
1984,6,10.3
1984,5,10.6
1984,4,11.6
1984,3,11.5
1984,2,10.4
1984,1,11.4
1983,12,11.6
1983,11,12.3
1983,10,12.1
1983,9,12.9
1983,8,13.0
1983,7,12.4
1983,6,14.3
1983,5,14.0
1983,4,14.8
1983,3,15.6
1983,2,15.5
1983,1,15.3
1982,12,15.7
1982,11,15.2
1982,10,15.0
1982,9,14.4
1982,8,14.8
1982,7,14.2
1982,6,13.8
1982,5,13.9
1982,4,12.9
1982,3,12.2
1982,2,12.1
1982,1,11.7
1981,12,11.7
1981,11,11.2
1981,10,10.7
1981,9,9.6
1981,8,10.0
1981,7,10.0
1981,6,10.3
1981,5,10.0
1981,4,9.5
1981,3,10.2
1981,2,11.3
1981,1,10.6
1980,12,10.3
1980,11,9.9
1980,10,10.6
1980,9,11.4
1980,8,10.8
1980,7,10.8
1980,6,10.1
1980,5,10.1
1980,4,10.4
1980,3,9.2
1980,2,8.9
1980,1,8.7
1979,12,9.1
1979,11,9.2
1979,10,8.7
1979,9,7.6
1979,8,8.7
1979,7,8.1
1979,6,8.4
1979,5,7.9
1979,4,8.2
1979,3,7.9
1979,2,7.7
1979,1,8.2
1978,12,8.7
1978,11,8.4
1978,10,8.5
1978,9,8.9
1978,8,9.1
1978,7,9.5
1978,6,9.1
1978,5,9.6
1978,4,8.5
1978,3,9.5
1978,2,9.9
1978,1,9.3
1977,12,8.8
1977,11,9.3
1977,10,9.4
1977,9,9.7
1977,8,9.4
1977,7,9.5
1977,6,10.1
1977,5,9.9
1977,4,9.6
1977,3,11.2
1977,2,11.4
1977,1,11.2
1976,12,11.7
1976,11,11.7
1976,10,11.6
1976,9,11.8
1976,8,12.4
1976,7,11.7
1976,6,11.1
1976,5,10.5
1976,4,11.7
1976,3,11.0
1976,2,10.7
1976,1,11.4
1975,12,12.1
1975,11,12.4
1975,10,13.0
1975,9,12.7
1975,8,12.1
1975,7,11.6
1975,6,11.7
1975,5,14.3
1975,4,12.4
1975,3,12.1
1975,2,11.2
1975,1,10.7
1974,12,9.1
1974,11,8.6
1974,10,8.2
1974,9,8.1
1974,8,8.1
1974,7,8.8
1974,6,8.6
1974,5,7.3
1974,4,7.0
1974,3,7.6
1974,2,7.8
1974,1,7.6
1973,12,7.6
1973,11,8.1
1973,10,8.0
1973,9,7.7
1973,8,7.4
1973,7,7.2
1973,6,7.9
1973,5,8.1
1973,4,7.9
1973,3,7.3
